Date,Category,Sub category,Name,Raised ($M),Area,Round,Investors,Link,Website,Crunchbase,Additional Info,Founder info,Previous rounds if Any,Social Media Presence
Jun-11,Enterprise,Secondary Data-Storage,Cohesity,250,,Series D,SoftBank,https://techcrunch.com/2018/06/11/softbank-vision-fund-leads-250m-series-d-for-cohesitys-hyperconverged-data-platform/,,,,,,
Jun-12,Enterprise,Database Software,Yugabyte,16,,Series A,"Lightspeed Venture Partners
Dell Technologies Capital",https://techcrunch.com/2018/06/12/yugabytes-new-database-software-rakes-in-16-million-so-developers-can-move-to-any-cloud/,,,,,,
Jun-14,Enterprise,Collaboration platform for scientists,Benchling,14.5,,Series B,Benchmark Capital,https://techcrunch.com/2018/06/14/benchling-raises-14-5m-to-help-streamline-collaboration-among-scientists/,,,,,,
Jun-12,Enterprise,Supply Chain Sourcing Platform,LevaData,12,,Series B,Tola Capital,http://www.finsmes.com/2018/06/cognitive-sourcing-platform-levadata-raises-12m-in-series-b.html,,,,,,
Jun-13,HealthCare,Infant Probiotic,Evolve Biosystems,40,,Series C,"Bill & Melinda Gates Foundation
 Horizon Ventures",https://www.pehub.com/vc-journal/evolve-biosystems-uc-davis-baby-probiotic-spinout-going-global-new-40m-financing/,,,,,,
Jun-12,HealthCare,medical device for lung disease,"Broncus Technologies, Inc",15,,Series A,Intuitive Surgical,http://www.finsmes.com/2018/06/broncus-medical-closes-15m-series-a-funding.html,,,,,,
Jun-14,HealthCare,brain health,Mindstrong Health ,15,,Series B,Bezos Expeditions,https://www.businesswire.com/news/home/20180614005130/en/Mindstrong-Health-Announces-15M-Series-Financing-Business,,,,,,
Jun-13,HealthCare,prenatal and postpartum healthcare app,Cleo ,10.5,,Series A,Greylock Partners,http://www.finsmes.com/2018/06/cleo-raises-10-5m-in-series-a-funding.html,,,,,,
Jun-14,FoodTech,salad robot,Chowbotics ,11,,Series A,Foundry Group and Techstars,https://techcrunch.com/2018/06/13/chowbotics-raises-11-million-to-move-its-robot-beyond-salads/,,,,,,
Jun-12,Transportation,shared electric scooters,Skip Scooters ,25,,Series A,"Menlo Ventures
 Accel Partners 
 Y Combinator",https://www.theinformation.com/articles/scooter-mania-continues-as-skip-nabs-25-million-bird-goes-to-china?shared=c693980705d5aa5e,,,,,,
Jun-11,Others,brain machine interface,"Paradromics, Inc. ",7,"San Jose, CA",Seed,"Synergy Ventures 
Arkitekt Ventures",http://www.finsmes.com/2018/06/brain-machine-interface-company-paradromics-raises-in-7m-seed-funding.html,,,,,,
